Central bank,date,Policy rate,Today,Last month,Start of year
Fed,18993,0.125,,,
Fed,18994,0.125,,,
Fed,18995,0.125,,,
Fed,18996,0.125,,,
Fed,18997,0.125,,,
Fed,18998,0.125,,,
Fed,18999,0.125,,,
Fed,19000,0.125,,,
Fed,19001,0.125,,,
Fed,19002,0.125,,,
Fed,19003,0.125,,,
Fed,19004,0.125,,,
Fed,19005,0.125,,,
Fed,19006,0.125,,,
Fed,19007,0.125,,,
Fed,19008,0.125,,,
Fed,19009,0.125,,,
Fed,19010,0.125,,,
Fed,19011,0.125,,,
Fed,19012,0.125,,,
Fed,19013,0.125,,,
Fed,19014,0.125,,,
Fed,19015,0.125,,,
Fed,19016,0.125,,,
Fed,19017,0.125,,,
Fed,19018,0.125,,,
Fed,19019,0.125,,,
Fed,19020,0.125,,,
Fed,19021,0.125,,,
Fed,19022,0.125,,,
Fed,19023,0.125,,,
Fed,19024,0.125,,,
Fed,19025,0.125,,,
Fed,19026,0.125,,,
Fed,19027,0.125,,,
Fed,19028,0.125,,,
Fed,19029,0.125,,,
Fed,19030,0.125,,,
Fed,19031,0.125,,,
Fed,19032,0.125,,,
Fed,19033,0.125,,,
Fed,19034,0.125,,,
Fed,19035,0.125,,,
Fed,19036,0.125,,,
Fed,19037,0.125,,,
Fed,19038,0.125,,,
Fed,19039,0.125,,,
Fed,19040,0.125,,,
Fed,19041,0.125,,,
Fed,19042,0.125,,,
Fed,19043,0.125,,,
Fed,19044,0.125,,,
Fed,19045,0.125,,,
Fed,19046,0.125,,,
Fed,19047,0.125,,,
Fed,19048,0.125,,,
Fed,19049,0.125,,,
Fed,19050,0.125,,,
Fed,19051,0.125,,,
Fed,19052,0.125,,,
Fed,19053,0.125,,,
Fed,19054,0.125,,,
Fed,19055,0.125,,,
Fed,19056,0.125,,,
Fed,19057,0.125,,,
Fed,19058,0.125,,,
Fed,19059,0.125,,,
Fed,19060,0.125,,,
Fed,19061,0.125,,,
Fed,19062,0.125,,,
Fed,19063,0.125,,,
Fed,19064,0.125,,,
Fed,19065,0.125,,,
Fed,19066,0.125,,,
Fed,19067,0.125,,,
Fed,19068,0.375,,,
Fed,19069,0.375,,,
Fed,19070,0.375,,,
Fed,19071,0.375,,,
Fed,19072,0.375,,,
Fed,19073,0.375,,,
Fed,19074,0.375,,,
Fed,19075,0.375,,,
Fed,19076,0.375,,,
Fed,19077,0.375,,,
Fed,19078,0.375,,,
Fed,19079,0.375,,,
Fed,19080,0.375,,,
Fed,19081,0.375,,,
Fed,19082,0.375,,,
Fed,19083,0.375,,,
Fed,19084,0.375,,,
Fed,19085,0.375,,,
Fed,19086,0.375,,,
Fed,19087,0.375,,,
Fed,19088,0.375,,,
Fed,19089,0.375,,,
Fed,19090,0.375,,,
Fed,19091,0.375,,,
Fed,19092,0.375,,,
Fed,19093,0.375,,,
Fed,19094,0.375,,,
Fed,19095,0.375,,,
Fed,19096,0.375,,,
Fed,19097,0.375,,,
Fed,19098,0.375,,,
Fed,19099,0.375,,,
Fed,19100,0.375,,,
Fed,19101,0.375,,,
Fed,19102,0.375,,,
Fed,19103,0.375,,,
Fed,19104,0.375,,,
Fed,19105,0.375,,,
Fed,19106,0.375,,,
Fed,19107,0.375,,,
Fed,19108,0.375,,,
Fed,19109,0.375,,,
Fed,19110,0.375,,,
Fed,19111,0.375,,,
Fed,19112,0.375,,,
Fed,19113,0.375,,,
Fed,19114,0.375,,,
Fed,19115,0.375,,,
Fed,19116,0.375,,,
